Ticker,Name,Market Cap,1 Week Return,Price,Average 1 Month Volume
"OXY","Occidental Petroleum Corp",13617281119.92,-0.111650485436893,14.64,22737640.1428571
"IQ","iQIYI Inc",13549290013.1803,-0.144,19.26,7043956.95238095
"LI","LAIDLAW INTERNATIONAL INC",12344634318.1,-0.110840438489647,14.6,13381292.25
"ANGI","Angies List Inc",6511242694.45,-0.152903225806452,13.13,3112167.28571429
"PSTG","Pure Storage Inc",4229753099.04,-0.102362204724409,15.96,3185527.23809524
"SRNE","Sorrento Therapeutics Inc",3010810680.08,-0.339001062699256,12.44,64927288.3809524
"RKT","RockTenn Company",2670198438.96,-0.125057683433318,18.96,45244146.1428571
"INO","Inovio Pharmaceuticals Inc",2476789631.475,-0.22143233280674,14.785,22053109.5714286
"BNR","Burning Rock Biotech Ltd ADS Sponsored",2137679400.16,-0.118957545187053,20.96,100678.714285714
"NOVA","Sunnova Energy International Inc",2065349527.71,-0.150402238544946,24.29,1434396.19047619
"HCSG","Healthcare Services Group Inc",1686425180,-0.177196804647785,22.66,784356
"XPER","Tessera Holding Corp",1574462879.025,-0.137039239001189,14.515,1188751.76190476
"MRTN","Marten Transport Ltd",1537530088.8,-0.328034682080925,18.6,323021.523809524
"KNSA","Kiniksa Pharmaceuticals Ltd",1201367782.2,-0.115,17.7,426710.619047619
"PRPL","Purple Innovation Inc",1166038829.97,-0.129786376461104,21.59,1499714.14285714
"ADVM","Adverum Biotechnologies Inc",1071926891.79,-0.289304812834225,13.29,1524141.9047619
"MDP","Meredith Corp",656329379.22,-0.100746268656716,14.46,667218.666666667
"PASG","Passage Bio Inc",647274332.23,-0.137052759248029,14.23,168845.619047619
"AFIB","Acutus Medical Inc Com",613207886.13,-0.111071428571429,24.89,750083.714285714
"BLFS","Biolife Solutions Inc",592669280.12,-0.179441736818786,18.52,270223.666666667
"PTGX","Protagonist Therapeutics Inc",577508859.12,-0.129542302357836,15.69,264300.571428571
"VREX","Varex Imaging Corp",527850000,-0.186746987951807,13.5,590162.952380952
"RNLX","Renalytix AI plc",508404487.48,-0.164661236579045,14.44,197041.19047619
"URGN","UroGen Pharma Ltd",505446187.05,-0.131339894019682,22.95,130155.571428571
"FIXX","Homology Medicines Inc",502825538.88,-0.120253164556962,11.12,667095.714285714
"CRNX","Crinetics Pharmaceuticals Inc",502132297.14,-0.102820211515864,15.27,107693.333333333
"CODX","CompanyDiagnostics Inc",457467329.61,-0.327137546468402,16.29,4449469.80952381
"PRVL","Prevail Therapeutics Inc",441371577.9,-0.187657430730479,12.9,147949.428571429
"BLBD","Blue Bird Corp",332695369.2,-0.122055674518201,12.3,108415.19047619
"VERI","Veritone Inc",298109905.2,-0.166023166023166,10.8,776294.333333333
"CABA","Cabaletta Bio Inc",275493747.24,-0.124522536287242,11.46,103341.571428571
"JMIA","Jumia Technologies AG American Depositary Shares each representing two",274428864.5,-0.317974683544304,13.47,16446644.5238095
"IBEX","IBEX Ltd Ord",256855426.44,-0.145189504373178,14.66,698823.5
"PKD","Parker Drilling Company",220555873.74,-0.106642291285801,14.66,144780.619047619
"OCN","Ocwen Financial Corp",182019264,-0.146341463414634,21,115580
"LAKE","Lakeland Industries Inc",162955298.25,-0.147328881469115,20.43,887635.761904762
"OBCI","Ocean BioChem Inc",145749398.05,-0.17769477054429,15.41,114256.857142857
"CMCL","Caledonia Mining Corp",128295448.72,-0.204064352243861,18.8,199143.666666667
